respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.17,0.28
26708,0.13,0.07
26709,0.42,0.83
26710,0.70,0.87
26711,0.23,0.44
26712,0.71,0.90
26713,0.44,0.54
26714,0.37,0.25
26715,0.07,0.08
26716,0.18,0.82
26717,0.10,0.35
26718,0.56,0.58
26719,0.26,0.87
26720,0.04,0.30
26721,0.34,0.54
26722,0.07,0.12
26723,0.65,0.87
26724,0.19,0.68
26725,0.06,0.08
26726,0.14,0.13
26727,0.39,0.83
26728,0.20,0.41
26729,0.33,0.42
26730,0.09,0.22
26731,0.06,0.27
26732,0.25,0.21
26733,0.71,0.89
26734,0.59,0.45
26735,0.10,0.25
26736,0.07,0.14
26737,0.08,0.13
26738,0.72,0.72
26739,0.07,0.16
26740,0.19,0.21
26741,0.46,0.93
26742,0.23,0.29
26743,0.12,0.42
26744,0.10,0.68
26745,0.17,0.74
26746,0.27,0.29
26747,0.07,0.11
26748,0.14,0.13
26749,0.15,0.59
26750,0.83,0.87
26751,0.47,0.82
26752,0.11,0.18
26753,0.26,0.53
26754,0.23,0.48
26755,0.12,0.43
26756,0.03,0.09
26757,0.44,0.63
26758,0.59,0.78
26759,0.42,0.19
26760,0.06,0.04
26761,0.32,0.54
26762,0.28,0.74
26763,0.68,0.88
26764,0.66,0.88
26765,0.25,0.56
26766,0.23,0.14
26767,0.90,0.69
26768,0.12,0.43
26769,0.24,0.27
26770,0.20,0.41
26771,0.11,0.31
26772,0.19,0.46
26773,0.13,0.34
26774,0.19,0.46
26775,0.07,0.50
26776,0.40,0.40
26777,0.17,0.77
26778,0.18,0.09
26779,0.43,0.59
26780,0.23,0.91
26781,0.17,0.44
26782,0.08,0.25
26783,0.09,0.16
26784,0.70,0.86
26785,0.53,0.47
26786,0.12,0.20
26787,0.22,0.57
26788,0.17,0.88
26789,0.06,0.27
26790,0.07,0.21
26791,0.13,0.12
26792,0.25,0.67
26793,0.21,0.92
26794,0.75,0.87
26795,0.18,0.77
26796,0.04,0.02
26797,0.25,0.60
26798,0.38,0.29
26799,0.47,0.43
26800,0.11,0.84
26801,0.17,0.21
26802,0.07,0.20
26803,0.14,0.30
26804,0.21,0.10
26805,0.10,0.15
26806,0.11,0.91
26807,0.69,0.85
26808,0.54,0.64
26809,0.53,0.28
26810,0.10,0.13
26811,0.05,0.11
26812,0.23,0.67
26813,0.42,0.44
26814,0.07,0.65
26815,0.04,0.03
26816,0.14,0.33
26817,0.23,0.68
26818,0.14,0.32
26819,0.26,0.32
26820,0.14,0.18
26821,0.06,0.54
26822,0.22,0.72
26823,0.26,0.39
26824,0.08,0.71
26825,0.72,0.73
26826,0.24,0.60
26827,0.06,0.14
26828,0.70,0.79
26829,0.55,0.87
26830,0.06,0.90
26831,0.42,0.82
26832,0.18,0.89
26833,0.08,0.55
26834,0.31,0.56
26835,0.69,0.86
26836,0.29,0.61
26837,0.31,0.13
26838,0.37,0.50
26839,0.23,0.41
26840,0.24,0.25
26841,0.50,0.61
26842,0.07,0.13
26843,0.07,0.06
26844,0.09,0.38
26845,0.13,0.68
26846,0.13,0.81
26847,0.35,0.26
26848,0.09,0.69
26849,0.29,0.53
26850,0.54,0.59
26851,0.18,0.08
26852,0.05,0.05
26853,0.54,0.50
26854,0.05,0.08
26855,0.73,0.84
26856,0.22,0.10
26857,0.41,0.35
26858,0.12,0.43
26859,0.11,0.06
26860,0.23,0.27
26861,0.16,0.17
26862,0.08,0.30
26863,0.21,0.42
26864,0.69,0.35
26865,0.12,0.03
26866,0.21,0.58
26867,0.23,0.20
26868,0.59,0.86
26869,0.10,0.18
26870,0.77,0.89
26871,0.07,0.07
26872,0.13,0.37
26873,0.22,0.77
26874,0.06,0.12
26875,0.67,0.85
26876,0.11,0.12
26877,0.10,0.17
26878,0.21,0.28
26879,0.03,0.04
26880,0.13,0.19
26881,0.03,0.08
26882,0.03,0.06
26883,0.09,0.22
26884,0.43,0.68
26885,0.29,0.69
26886,0.16,0.80
26887,0.59,0.81
26888,0.80,0.92
